Br_ID,BR_Total,BR_Count,BR_Avg_Tix,Name,Address,Phone,postal,full_address,gcode,lat,long,rank
1,3453500.0,136,25393.382352941175,1200 St Clair ,1200 ST CLAIR AVE WEST,416-652-3444,M6E 1B4,"1200 ST CLAIR AVE WEST, Ontario, Canada","BMO, 1200, St. Clair Avenue West, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6E 1B4, Canada",43.6778012,-79.4444415,42
2,4690000.0,189,24814.814814814814,Avenue Rd & Fairlawn ,1705 AVENUE ROAD,416-782-3508,M5M 3Y5,"1705 AVENUE ROAD, Ontario, Canada","1705, Avenue Road, Eglinton—Lawrence, North York, Toronto, Golden Horseshoe, Ontario, M5M 3Y6, Canada",43.7281034,-79.4177817,27
3,6390000.0,264,24204.545454545456,Bathurst & Frontenac ,2953 BATHURST ST,416-789-7915,M6B 3B2,"2953 BATHURST ST, Ontario, Canada","BMO, 2953, Bathurst Street, Eglinton—Lawrence, North York, Toronto, Golden Horseshoe, Ontario, M6B 3B1, Canada",43.7167193,-79.4288825,12
4,2446500.0,104,23524.03846153846,Bay & College ,763 BAY STREET,416-867-5190,M5G 2R3,"763 BAY STREET, Ontario, Canada","BMO, 763, Bay Street, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 2J9, Canada",43.6599901,-79.3852164,48
5,3600000.0,133,27067.669172932332,Bedford & Bloor ,242 BLOOR STREET WEST,416-867-4663,M5S 1T8,"242 BLOOR STREET WEST, Ontario, Canada","BMO, 242, Bloor Street West, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 1T8, Canada",43.6682433,-79.3972205,41
6,7587500.0,296,25633.445945945947,Bloor & Bay (Manulife Centre) ,55 BLOOR ST W,416-927-5915,M4W 1A6,"55 BLOOR ST W, Ontario, Canada","BMO, 55, Bloor Street West, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4W 3L8, Canada",43.6697574,-79.3884078,4
7,4662000.0,183,25475.409836065573,Bloor & Church ,101 - 120 BLOOR STREET EAST,416-867-6731,M4W 1B7,"101 - 120 BLOOR STREET EAST, Ontario, Canada","Bloor Street East, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4W 1A9, Canada",43.6705993,-79.3851527,28
8,4764000.0,192,24812.5,Bloor & Euclid ,640 BLOOR ST W,416-533-8583,M6G 1K9,"640 BLOOR ST W, Ontario, Canada","BMO, 640, Bloor Street West, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 1K9, Canada",43.6644298,-79.4150057,25
9,6092000.0,243,25069.958847736627,Bloor & Lansdowne ,1293 BLOOR ST W,416-531-3561,M6H 1P1,"1293 BLOOR ST W, Ontario, Canada","BMO, 1293, Bloor Street West, Brockton Village, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6H 3Y9, Canada",43.6581787,-79.4430078,13
10,5934500.0,242,24522.727272727272,Bloor & Windermere ,2330 BLOOR ST W,416-769-4151,M6S 1P3,"2330 BLOOR ST W, Ontario, Canada","BMO, 2330, Bloor Street West, Swansea, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6S, Canada",43.6503786,-79.4806298,17
11,6477500.0,247,26224.696356275304,Bridlewood Mall Branch ,2900 WARDEN AVE,416-497-2863,M1W 2S8,"2900 WARDEN AVE, Ontario, Canada","2900 Warden Avenue, Warden Avenue, Scarborough—Agincourt, Scarborough, Toronto, Golden Horseshoe, Ontario, M1W 2R6, Canada",43.7993039,-79.3172414,11
12,4659000.0,191,24392.670157068063,Centerpoint Mall ,6468 YONGE ST,416-590-7880,M2M 3X4,"6468 YONGE ST, Ontario, Canada","6468, Yonge Street, Willowdale, North York, Toronto, Golden Horseshoe, Ontario, M2M 3X6, Canada",43.795991854639176,-79.41972642474227,29
13,5990500.0,241,24856.846473029047,Church & Alexander ,492 CHURCH STREET,416-929-3284,M4Y 2C8,"492 CHURCH STREET, Ontario, Canada","492, Church Street, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4Y 2C5, Canada",43.66384671428571,-79.38029878571429,14
14,4736500.0,173,27378.612716763007,Cityplace ,26 FORT YORK BLVD,416-867-6677,M5V 3Z3,"26 FORT YORK BLVD, Ontario, Canada","BMO, 26, Fort York Boulevard, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 3Z9, Canada",43.6403402,-79.3947822,26
15,7875000.0,311,25321.54340836013,College & Manning ,568 COLLEGE ST,416-534-8441,M6G 1B3,"568 COLLEGE ST, Ontario, Canada","BMO, 568, College Street, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 1B3, Canada",43.6555594,-79.4128022,2
16,4968500.0,190,26150.0,Danforth & Ferrier ,518 DANFORTH AVE,416-463-1177,M4K 1P6,"518 DANFORTH AVE, Ontario, Canada","518, Danforth Avenue, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4K 1P6, Canada",43.6783385,-79.3486094,22
17,3988000.0,160,24925.0,Danforth & Woodbine ,2083 DANFORTH AVE,416-698-1601,M4C 1K1,"2083 DANFORTH AVE, Ontario, Canada","2083, Danforth Avenue, Beaches—East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4C 1J9, Canada",43.6856076,-79.3124907,35
18,6763500.0,271,24957.564575645756,Dufferin Mall ,900 DUFFERIN STREET,416-537-3312,M6H 4B1,"900 DUFFERIN STREET, Ontario, Canada","Dufferin Mall, 900, Dufferin Street, Brockton Village, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6H 4B4, Canada",43.65598005,-79.43572789418421,9
19,6796000.0,271,25077.49077490775,Dundas & Keele ,2859 DUNDAS STREET W,416-767-3111,M6P 1Y9,"2859 DUNDAS STREET W, Ontario, Canada","2859, Dundas Street West, The Junction, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6P, Canada",43.665271000000004,-79.46480337333334,8
20,7872000.0,297,26505.050505050505,Dundas & Ossington ,1102 DUNDAS STREET W,416-583-5100,M6J 1X2,"1102 DUNDAS STREET W, Ontario, Canada","BMO, 1102, Dundas Street West, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1X2, Canada",43.649652,-79.4197417,3
21,3988000.0,155,25729.032258064515,Dundas & Spadina (New Chinatown) ,291 SPADINA AVE,416-867-4759,M5T 2E6,"291 SPADINA AVE, Ontario, Canada","BMO, 291, Spadina Avenue, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 1H1, Canada",43.6534544,-79.3979581,35
22,5439000.0,214,25415.88785046729,Dupont & Symington ,1502 DUPONT STREET,416-533-7686,M6P 3S1,"1502 DUPONT STREET, Ontario, Canada","Dupont Street, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6H 2C1, Canada",43.6687639,-79.4372772,21
23,3718500.0,146,25469.178082191782,East Liberty& Hanna ,171 EAST LIBERTY STREET,416-535-5215,M6K 3P6,"171 EAST LIBERTY STREET, Ontario, Canada","Bulk Barn, 171, East Liberty Street, Little Tibet, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 3P8, Canada",43.6380551,-79.4190063,38
24,6759500.0,265,25507.54716981132,East York Town Centre ,45 OVERLEA BLVD,416-421-0921,M4H 1C3,"45 OVERLEA BLVD, Ontario, Canada","East York Town Centre, 45, Overlea Boulevard, Don Valley West, East York, Toronto, Golden Horseshoe, Ontario, M4H 1C3, Canada",43.70565595,-79.34613324230222,10
25,1523500.0,60,25391.666666666668,Eglinton & Elmsthorpe ,419 EGLINTON AVE WEST,416-489-5020,M5N 1A4,"419 EGLINTON AVE WEST, Ontario, Canada","419, Eglinton Avenue West, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5N 2K5, Canada",43.70384235,-79.411413075,50
26,8547500.0,343,24919.8250728863,Fairbank ,1901 EGLINTON AVE W,416-781-5557,M6E 2J5,"1901 EGLINTON AVE W, Ontario, Canada","1901, Eglinton Avenue West, Fairbank, York, Toronto, Golden Horseshoe, Ontario, M6E 2H8, Canada",43.6951502,-79.452092,1
27,7131500.0,289,24676.470588235294,First Canadian Place Branch - Main Floor ,100 KING ST. WEST,416-867-5050,M5X 1A3,"100 KING ST. WEST, Ontario, Canada","100 King Street West, 100, King Street West, Hess Village, Hamilton, Golden Horseshoe, Ontario, L4P 4W7, Canada",43.2573701,-79.87018714417678,6
28,4162500.0,159,26179.245283018867,Forest Hill Village ,437 SPADINA RD,416-544-0537,M5P 2W3,"437 SPADINA RD, Ontario, Canada","437, Spadina Road, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5P 2W3, Canada",43.689237985714286,-79.41272419285714,33
29,4464500.0,164,27222.560975609755,Front & Berkeley ,236 FRONT STREET EAST,416-366-1776,M5A 4T9,"236 FRONT STREET EAST, Ontario, Canada","236, Front Street East, Strathroy, Strathroy-Caradoc, Middlesex County, Southwestern Ontario, Ontario, N7G 1P6, Canada",42.9619189,-81.61479560000001,32
30,4002000.0,175,22868.571428571428,King & Church ,101 KING STREET EAST,416-360-0130,M5C 1G3,"101 KING STREET EAST, Ontario, Canada","101, King Street East, Colborne, Cramahe, Northumberland County, Central Ontario, Ontario, K0K 1S0, Canada",44.0070067,-77.8808356,34
31,2421500.0,104,23283.653846153848,King & University ,200 KING ST W,416-867-5268,M5H 3T4,"200 KING ST W, Ontario, Canada","Kitchener City Hall, 200, King Street West, Downtown, Kitchener, Region of Waterloo, Southwestern Ontario, Ontario, N2G 1B7, Canada",43.451622349999994,-80.49218824113066,49
32,4508500.0,172,26212.20930232558,Laird & Commercial ,147 LAIRD DRIVE,416-425-0021,M4G 4K1,"147 LAIRD DRIVE, Ontario, Canada","Sobeys, 147, Laird Drive, Don Valley West, East York, Toronto, Golden Horseshoe, Ontario, M4G 3V4, Canada",43.7096892,-79.35955621581823,31
33,5964500.0,232,25709.05172413793,Lawrence Allen Centre ,700 LAWRENCE AVE WEST,416-787-4564,M6A 3B4,"700 LAWRENCE AVE WEST, Ontario, Canada","Lawrence Allen Centre, 700, Lawrence Avenue West, Eglinton—Lawrence, North York, Toronto, Golden Horseshoe, Ontario, M6A 3B4, Canada",43.7167617,-79.44718952063198,15
34,4805000.0,191,25157.068062827224,Leaside ,1670 BAYVIEW AVE,416-488-7298,M4G 3C2,"1670 BAYVIEW AVE, Ontario, Canada","BMO, 1670, Bayview Avenue, Don Valley West, East York, Toronto, Golden Horseshoe, Ontario, M4G 3B7, Canada",43.7076261,-79.3761432,24
35,4877500.0,199,24510.05025125628,Leslie & York Mills ,1859 LESLIE STREET,416-443-1921,M3B 2M1,"1859 LESLIE STREET, Ontario, Canada","BMO, 1859, Leslie Street, Don Valley West, North York, Toronto, Golden Horseshoe, Ontario, M3B 1X8, Canada",43.75452105,-79.35915909257255,23
36,1486500.0,61,24368.852459016394,McCowan Square ,1225 MCCOWAN RD,416-438-9900,M1H 3K3,"1225 MCCOWAN RD, Ontario, Canada","1225, McCowan Road, Scarborough—Guildwood, Scarborough, Toronto, Golden Horseshoe, Ontario, M1H 3K0, Canada",43.7729107690802,-79.25142420202336,51
37,3040000.0,116,26206.896551724138,Queen & Portland ,591 QUEEN ST WEST,416-703-3812,M5V 2B7,"591 QUEEN ST WEST, Ontario, Canada","BMO, 591, Queen Street West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2B6, Canada",43.6474762,-79.4018157,46
38,5956500.0,236,25239.406779661018,Queen & Saulter ,774 QUEEN ST E,416-461-0801,M4M 1H4,"774 QUEEN ST E, Ontario, Canada","774, Queen Street East, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 1H4, Canada",43.65956453846154,-79.34739823076923,16
39,5469000.0,214,25556.07476635514,Queen & Yonge ,2 QUEEN ST E,416-867-5596,M5C 3G7,"2 QUEEN ST E, Ontario, Canada","2, Queen Street East, Downtown Chesterville, Chesterville, North Dundas, Stormont, Dundas and Glengarry Counties, Eastern Ontario, Ontario, K0C 1H0, Canada",45.1033453,-75.2300046,20
40,5717000.0,222,25752.252252252252,Rogers Road ,605 ROGERS ROAD,416-658-9292,M6M 1B9,"605 ROGERS ROAD, Ontario, Canada","BMO, 605, Rogers Road, York South—Weston, York, Toronto, Golden Horseshoe, Ontario, M6N, Canada",43.6818874,-79.4722402,18
41,4657000.0,182,25587.91208791209,Stackt Market Bathurst And Front ,28 BATHURST STREET,416-214-9545,M5V 0R4,"28 BATHURST STREET, Ontario, Canada","BMO, 28, Bathurst Street, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2V5, Canada",43.6408802,-79.4019344,30
42,3657000.0,150,24380.0,St.Clair & Runnymede ,2471 ST.CLAIR AVE W,416-762-8291,M6N 4Z5,"2471 ST.CLAIR AVE W, Ontario, Canada","EB Games, 2471, St. Clair Avenue West, Rockcliffe-Smythe, York South—Weston, York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6N, Canada",43.6686779,-79.4840473,40
43,7487000.0,287,26087.108013937283,Steeles & Markham ,6023 STEELES AVE EAST,416-321-3700,M1V 5P7,"6023 STEELES AVE EAST, Ontario, Canada","BMO, 6023, Steeles Avenue East, Scarborough North, Scarborough, Toronto, York Region, Golden Horseshoe, Ontario, L3S 3J9, Canada",43.836078,-79.25219063571427,5
44,3420000.0,132,25909.090909090908,The Beach ,2183 QUEEN ST E,416-699-9351,M4E 1E5,"2183 QUEEN ST E, Ontario, Canada","BMO, 2183, Queen Street East, Beaches—East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4E 1E5, Canada",43.6704938,-79.2973616,43
45,2939000.0,124,23701.612903225807,University & College ,700 UNIVERSITY AVE,416-867-5330,M5G 1X7,"700 UNIVERSITY AVE, Ontario, Canada","Intact Centre, 700, University Avenue, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 3M2, Canada",43.6591104,-79.39120659491317,47
46,6825000.0,260,26250.0,University & Dundas ,438 UNIVERSITY AVE,416-596-8814,M5G 2K8,"438 UNIVERSITY AVE, Ontario, Canada","BMO, 438, University Avenue, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 1E6, Canada",43.6546209,-79.3886431,7
47,5713000.0,233,24519.31330472103,Yonge & Fairlawn ,3320 YONGE ST,416-488-8335,M4N 2M4,"3320 YONGE ST, Ontario, Canada","BMO, 3320, Yonge Street, Eglinton—Lawrence, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4N 2M4, Canada",43.73119,-79.4040412,19
48,3683000.0,143,25755.244755244756,Yonge & Gerrard ,382 YONGE STREET,416-408-1974,M5B 1S8,"382 YONGE STREET, Ontario, Canada","Duke's Refresher + Bar, 382, Yonge Street, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 1S8, Canada",43.6590065,-79.3833435,39
49,3890500.0,165,23578.78787878788,Yonge & Roselawn ,2454 YONGE ST,416-488-1145,M4P 2H5,"2454 YONGE ST, Ontario, Canada","BMO, 2454, Yonge Street, Yonge & Eglinton, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4P 1Y5, Canada",43.7110013,-79.3996631458458,37
50,3319000.0,136,24404.41176470588,Yonge & St Clair ,1560 YONGE STREET,416-920-9861,M4T 2S9,"1560 YONGE STREET, Ontario, Canada","BMO, 1560, Yonge Street, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4T 2S9, Canada",43.6892417,-79.3947573,44
51,3220000.0,137,23503.649635036498,York University/York Lanes ,4700 KEELE STREET,416-665-4775,M3J 1P3,"4700 KEELE STREET, Ontario, Canada","Thaï Express, 4700, Keele Street, Humber River—Black Creek, North York, Toronto, Golden Horseshoe, Ontario, M3J 3T8, Canada",43.774283,-79.5019475,45
